token	pos	sem	stanford-token	stanford-pos
<text>	NULL	""	<text>	JJ
-----	-----	""	-----	CD
Being	VBG	A3+ Z5	Being	VBG
a	AT1	Z5	a	DT
Digital	JJ	Z3c	Digital	NNP
Nomad	NN1	M1/S2mf	Nomad	NNP
,	,	""	,	,
Is	VBZ	A3+ Z5	Is	VBZ
It	PPH1	Z8	It	PRP
For	IF	Z5	For	IN
Everybody	PN1	Z8/N5.1+c	Everybody	NN
?	?	""	?	.
-----	-----	""	-----	CD
A	AT1	Z5	A	DT
Short	JJ@	T1.3- N3.7- N3.3- N5- S1.2.4- N3.8+@ F1%	Short	JJ
Trip	NN1	M1 F3%	Trip	NN
To	II	Z5	To	TO
NYC	NP1	Z99	NYC	NNP
Reveals	VVZ	A10+	Reveals	VBZ
The	AT	Z5	The	DT
Truth	NN1	A5.2+	Truth	NN
I	PPIS1	Z8mf	I	PRP
know	VV0	X2.2+ S3.2/B1%	know	VBP
that	CST	Z5 Z8	that	IN
some	DD	N5 Z5	some	DT
of	IO	Z5	of	IN
my	APPGE	Z8	my	PRP$
readers	NN2	Q4.1/S2mf Q4.2/S2mf P1/S2mf Q4.1	readers	NNS
would	VM	A7+	would	MD
love	VVI	E2+	love	VB
to	TO	Z5	to	TO
read	VVI	Q3 Q1.2 X3.2+ X2.5+ P1 A10+	read	VB
my	APPGE	Z8	my	PRP$
reviews	NN2	Q4 X2.4	reviews	NNS
of	IO	Z5	of	IN
some	DD	N5 Z5	some	DT
products	NN2	O2 A1.1.1 A2.2 N2%	products	NNS
I	PPIS1	Z8mf	I	PRP
use	VV0	A1.5.1 S7.1+	use	VBP
for	IF	Z5	for	IN
niche	NN1	O2 I3.1	niche	NN
websites	NN2	Y2	websites	NNS
.	.	""	.	.
-----	-----	""	-----	CD
Sorry	JJ	Z4 E4.1- O4.2-	Sorry	NNP
,	,	""	,	,
guys	NN2	S2.2m O2	guys	NNS
,	,	""	,	,
no	AT	Z6	no	DT
reviews	NN2	Q4 X2.4	reviews	NNS
this	DD1	M6 Z5 Z8	this	DT
week	NNT1	T1.3	week	NN
!	!	""	!	.
-----	-----	""	-----	CD
Last	MD	T1.1.1[i1.2.1 N4	Last	JJ
week	NNT1	T1.1.1[i1.2.2 T1.3	week	NN
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
did	VDD	Z5 A1.1.1 G2.2- X9.2+ E3- G2.1%	did	VBD
not	XX	Z6	not	RB
have	VHI	A9+ Z5 A2.2 S4	have	VB
much	DA1	N5+ I1.3+	much	JJ
