token	pos	sem	stanford-token	stanford-pos
<text>	NULL	""	<text>	NN
-----	-----	""	-----	CD
Building	VVG@	H1 A1.1.1 A5.1+/A2.1 N3.2+/A2.1	Building	NNP
Private	JJ	A10- S5- G1.1-	Private	NNP
Blog	NN1	L2 O2 A1.1.1 Q1.2 N2 Q4.2	Blog	NNP
Network	NN1	S5+c Q4.3 Y2	Network	NNP
:	:	""	:	:
Why	RRQ	A2.2	Why	WRB
And	CC	Z5	And	CC
Why	RRQ	A2.2	Why	WRB
Not	XX	Z6	Not	RB
?	?	""	?	.
-----	-----	""	-----	CD
This	DD1	Z8 M6 Z5	This	DT
is	VBZ	A3+ Z5	is	VBZ
the	AT	Z5	the	DT
first	MD	N4	first	JJ
post	NN1	Q1.2 O2 I3.1 M6	post	NN
from	II	Z5	from	IN
the	AT	Z5	the	DT
series	NN	N4c Q4.3c	series	NN
about	II	Z5	about	IN
how	RRQ	Z5 A13.3	how	WRB
I	PPIS1	Z8mf	I	PRP
build	VV0	H1 A1.1.1 A5.1+/A2.1 N3.2+/A2.1	build	VBP
a	AT1	Z5	a	DT
PBN	NP1	Z99	PBN	NNP
for	IF	Z5	for	IN
my	APPGE	Z8	my	PRP$
money	NN1	I1	money	NN
websites	NN2	Y2	websites	NNS
.	.	""	.	.
-----	-----	""	-----	CD
In	II	Z5	In	IN
the	AT	Z5	the	DT
beginning	NN1	T2+	beginning	NN
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
wanted	VVD	X7+ S6+ A7+ S3.2 A9-	wanted	VBD
to	TO	Z5	to	TO
briefly	RR	T1.3-	briefly	RB
cover	VVI	A10- M1 N3.6 S8+ I1.1 A1.8+ N5 Q2.1 A1.1.1	cover	VB
the	AT	Z5	the	DT
strategy	NN1	X7+	strategy	NN
and	CC	Z5	and	CC
methods	NN2	X4.2	methods	NNS
I	PPIS1	Z8mf	I	PRP
am	VBM	Z5 A3+	am	VBP
using	VVG	A1.5.1 S7.1+	using	VBG
.	.	""	.	.
-----	-----	""	-----	CD
However	RR	Z4	However	RB
,	,	""	,	,
the	AT	Z5	the	DT
more	DAR	N5++	more	JJR
time	NNT1	T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
I	PPIS1	Z8mf	I	PRP
spent	VVD	I1.2 A1.5.1 T1.3	spent	VBD
writing	VVG	Q1.2 I2.1	writing	VBG
the	AT	Z5	the	DT
bigger	JJR	N3.2++ N5++ A11.1++ S1.2.5++ X5.2++	bigger	JJR
the	AT	Z5	the	DT
post	NN1	Q1.2 O2 I3.1 M6	post	NN
became	VVD	A2.1+ O4.2+	became	VBD
.	.	""	.	.
-----	-----	""	-----	CD
So	RR	Z5 A13.3	So	RB
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
decided	VVD	X6+	decided	VBD
to	TO	Z5	to	TO
split	VVI	A6.1- A1.1.2 S1.1.2-	split	VB
it	PPH1	Z8	it	PRP
into	II	Z5	into	IN
multiple	JJ	N5+	multiple	JJ
articles	NN2	Q4.2 O2 Q3 G2.1/P1@	articles	NNS
and	CC	Z5	and	CC
publish	VVI	Q4	publish	VB
it	PPH1	Z8	it	PRP
as	II	Z5	as	IN
a	AT1	Z5	a	DT
series	NN	N4c Q4.3c	series	NN
.	.	""	.	.
-----	-----	""	-----	CD
This	DD1	M6 Z5 Z8	This	DT
post	NN1	Q1.2 O2 I3.1 M6	post	NN
is	VBZ	A3+ Z5	is	VBZ
pretty	RG	A13.5	pretty	RB
short	JJ	T1.3- N3.7- N3.3- N5- S1.2.4- N3.8+@ F1%	short	JJ
and	CC	Z5	and	CC
it	PPH1	Z8	it	PRP
covers	VVZ	A10- M1 N3.6 S8+ I1.1 A1.8+ N5 Q2.1 A1.1.1	covers	VBZ
the	AT	Z5	the	DT
topics	NN2	X4.1	topics	NNS
about	II	Z5	about	IN
what	DDQ	Z8 Z5	what	WP
a	AT1	Z5	a	DT
PBN	NP1	Z99	PBN	NNP
is	VBZ	A3+ Z5	is	VBZ
,	,	""	,	,
why	RRQ	A2.2	why	WRB
I	PPIS1	Z8mf	I	PRP
am	VBM	Z5 A3+	am	VBP
building	VVG@	H1 A1.1.1 A5.1+/A2.1 N3.2+/A2.1	building	VBG
one	PN1	Z8	one	CD
myself	PPX1	Z8mf	myself	PRP
,	,	""	,	,
and	CC	Z5	and	CC
basic	JJ	A6.2+ A11.1+ A12+	basic	JJ
footprints	NN2	O4.4 Q1.1	footprints	NNS
that	CST	Z8 Z5	that	WDT
can	VM	A7+	can	MD
be	VBI	Z5 A3+	be	VB
left	VVN	M1 M2 A1.1.1 A1.9 A9- N5.2+ T2-	left	VBN
.	.	""	.	.
-----	-----	""	-----	CD
Since	CS	Z5	Since	IN
I	PPIS1	Z8mf	I	PRP
am	VBM	A3+ Z5	am	VBP
a	AT1	Z5	a	DT
total	JJ	A13.2 N5.1+	total	JJ
newbie	NN1	M1/T3-/S2mf T2+/X9.1-/S2mf T3- T3-- T3 F1 O2 T2+ K5.1/S2mf X9.1- P1/S2mf S1.1.3+/S2mf T2+/S2mf X9.1-/S2mf	newbie	NN
in	II	Z5	in	IN
this	DD1	M6 Z5 Z8	this	DT
subject	NN1	X4.1 C1/S2mf Q3 P1 S7.1-/S2mf	subject	NN
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
wont	JJ	A6.2+	wont	VBP
try	NN1@	X8+ K5.1	try	VB
to	TO	Z5	to	TO
teach	VVI	P1	teach	VB
you	PPY	Z8mf	you	PRP
or	CC	Z4[i1.2.1 Z5	or	CC
anything	PN1	Z4[i1.2.2 Z8	anything	NN
like	II	Z5	like	IN
this	DD1	Z8 M6 Z5	this	DT
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
do	VD0	Z5 A1.1.1 G2.2- X9.2+ E3- N5+ G2.1%	do	VBP
not	XX	Z6	not	RB
know	VVI	X2.2+ S3.2/B1%	know	VB
a	AT1	Z5	a	DT
perfect	JJ	A5.1+++ A1.2+++ Q3	perfect	JJ
answer	NN1	Q2.2 X4.1 X9.2+	answer	NN
how	RRQ	Z5 A13.3	how	WRB
to	TO	Z5	to	TO
build	VVI	H1 A1.1.1 A5.1+/A2.1 N3.2+/A2.1	build	VB
a	AT1	Z5	a	DT
reliable	JJ	A5.1+ A5.3+	reliable	JJ
private	JJ	A10- S5- G1.1-	private	JJ
blog	NN1	L2 O2 A1.1.1 Q1.2 N2 Q4.2	blog	NN
network	NN1	S5+c Q4.3 Y2	network	NN
not	XX	Z6	not	RB
yet	RR	T1.1.2	yet	RB
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
will	VM	T1.1.3	will	MD
simply	RR	A13.6 A14 A12+	simply	RB
share	VVI	S1.1.2+	share	VB
my	APPGE	Z8[i2.2.1 Z8	my	PRP$
own	DA	Z8[i2.2.2 A9+ S5-	own	JJ
experience	NN1	X9.1+ X2.2 X3 I3.2	experience	NN
and	CC	Z5	and	CC
discoveries	NN2	A10+	discoveries	NNS
.	.	""	.	.
-----	-----	""	-----	CD
If	CS	Z7	If	IN
