token	pos	sem	stanford-token	stanford-pos
<text>	NULL	""	<text>	JJ
-----	-----	""	-----	CD
Dear	JJ	E2+ I1.3+	Dear	NNP
family	NN1	S4c A4.1c	family	NN
!	!	""	!	.
-----	-----	""	-----	CD
My	APPGE	Z8	My	PRP$
name	NN1	Q2.2	name	NN
is	VBZ	A3+ Z5	is	VBZ
Tanya	NP1	Z1f	Tanya	NNP
and	CC	Z5	and	CC
I	ZZ1%	Z8	I	PRP
'	NULL	""	'	''
d	ZZ1	Z5	d	NN
like	VV0@	E2+	like	IN
to	TO	Z5	to	TO
become	VVI	A2.1+ O4.2+	become	VB
your	APPGE	Z8	your	PRP$
au	NN121	H4/S2.1f[i1.2.1	au	NN
pair	NN122	H4/S2.1f[i1.2.2	pair	NN
for	IF	T1.3[i2.3.1 Z5	for	IN
a	AT1	T1.3[i2.3.2 Z5	a	DT
year	NNT1	T1.3[i2.3.3 T1.3 P1c	year	NN
,	,	""	,	,
to	TO	Z5	to	TO
become	VVI	A2.1+ O4.2+	become	VB
a	AT1	Z5	a	DT
part	NN1	N5.1- O2 M7 I3.1 S1.1.3+ K4	part	NN
of	IO	Z5	of	IN
your	APPGE	Z8	your	PRP$
wonderful	JJ	A5.1+	wonderful	JJ
family	NN1	S4c A4.1c	family	NN
,	,	""	,	,
to	TO	Z5	to	TO
be	VBI	A3+ Z5	be	VB
a	AT1	Z5	a	DT
person	NN1	S2mfc	person	NN
you	PPY	Z8mf	you	PRP
can	VM	A7+	can	MD
always	RR	N6+++	always	RB
rely	VVI	S7.1-	rely	VB
on	RP@	M6 A1.1.1	on	IN
and	CC	Z5	and	CC
to	TO	Z5	to	TO
take	VVI	A9+ T1.3 C1 A1.1.1 M2 S7.1- A2.1+ X2.4 S6+ S7.4+ N3 P1 M1 X2.5+ F1@ F2@ Q1.2@ B3@	take	VB
care	NN1	S8+ G1.1/S8+ B3 A1.3 E6-	care	NN
about	II	Z5	about	IN
the	AT	Z5	the	DT
gift	NN1	A9- X9.1+	gift	NN
in	II	Z5	in	IN
your	APPGE	Z8	your	PRP$
life	NN1	L1+ A3+ T1.3 S1.1.1 A1.1.1 X5.2+ Q4.1 A11.1+++ A5.4+/C1	life	NN
-	-	""	-	:
your	APPGE	Z8	your	PRP$
child	NN1	S2mf/T3- S4mf	child	NN
(	(	""	(	CD
or	CC	Z5	or	CC
children	NN2	S2mf/T3- S4mf	children	NNS
)	)	""	)	VBP
!	!	""	!	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
